1	6.81	-17.04	20.1	0.268
2	10.31	-13.93	20.1	0.262
3	12.58	-12.68	19.0	0.208
4	-2.72	-15.11	21.5	0.289
5	0.37	-13.87	22.9	0.304
6	5.05	-11.33	21.2	0.305
7	9.76	-8.93	19.8	0.284
8	-7.95	-11.89	19.8	0.251
9	6.91	-8.57	20.3	0.207
10	-1.24	-8.89	19.0	0.208
11	-13.33	-10.57	21.1	0.278
12	12.67	-4.29	20.9	0.265
13	10.39	-4.61	19.1	0.206
14	2.35	-5.68	20.1	0.280
15	-4.93	-6.90	20.5	0.282
16	-12.20	-7.75	21.6	0.272
17	-16.93	-8.54	17.3	0.191
18	7.94	-1.52	21.7	0.278
19	-7.25	-4.75	20.3	0.214
20	3.94	-1.18	21.2	0.253
21	13.77	1.07	20.2	0.227
22	-2.04	-0.50	21.3	0.274
23	9.82	2.16	22.1	0.287
24	-10.95	-0.77	19.3	0.236
25	13.79	5.05	21.3	0.257
26	3.42	3.69	7.9	0.054
27	-0.74	3.25	18.7	0.208
28	9.70	6.60	20.1	0.300
29	-6.52	3.35	22.0	0.245
30	-11.51	2.56	20.7	0.299
31	16.97	10.58	18.6	0.255
32	14.20	10.44	19.9	0.229
33	2.59	7.95	18.1	0.246
34	1.04	8.80	19.3	0.221
35	-2.77	8.14	20.3	0.225
36	5.84	11.44	20.4	0.235
37	9.82	12.71	20.0	0.273
38	-8.33	10.39	16.8	0.198
39	0.60	13.64	20.3	0.234
40	-4.00	13.49	20.6	0.255
41	3.80	15.55	19.5	0.205
42	-12.63	12.53	21.3	0.305
43	-9.81	17.96	19.3	0.213
44	-7.84	18.58	22.4	0.257
45	-1.01	-9.24	7.9	0.062
46	7.11	0.83	12.3	0.091
47	-0.51	-2.17	9.4	0.085
48	-14.19	1.20	10.4	0.083
49	-14.24	0.65	9.4	0.119
50	-9.42	4.50	9.2	0.090
51	18.56	5.86	18.5	0.267
